txn_id,txn_date,security_id,txn_type,quantity,price,amount,account_id
1001,2025-03-03,SPY,BUY,1540,525.046,808570.84,ACC-003
1002,2025-03-03,JPM,SELL,4460,196.8959,-878155.71,ACC-004
1003,2025-03-03,T-2026,COUPON,4430,97.1726,430474.62,ACC-004
1004,2025-03-04,AAPL,BUY,4040,176.523,713152.92,ACC-003
1005,2025-03-04,GS,SELL,2920,401.2103,-1171534.08,ACC-005
1006,2025-03-04,AAPL,BUY,4930,180.5515,890118.9,ACC-002
1007,2025-03-04,SPY,BUY,1990,524.6956,1044144.24,ACC-002
1008,2025-03-04,CORP-A,BUY,1670,100.8389,168400.96,ACC-001
1009,2025-03-05,JPM,SELL,3510,195.937,-687738.87,ACC-005
1010,2025-03-05,CORP-A,COUPON,3930,100.2007,393788.75,ACC-002
1011,2025-03-05,GS,COUPON,4250,394.8867,1678268.48,ACC-004
1012,2025-03-05,AAPL,BUY,4830,177.6014,857814.76,ACC-004
1013,2025-03-05,JPM,BUY,4130,199.4974,823924.26,ACC-004
1014,2025-03-06,CORP-B,BUY,4280,101.0528,432505.98,ACC-003
1015,2025-03-06,T-2026,DIVIDEND,4560,97.695,445489.2,ACC-001
1016,2025-03-06,JPM,BUY,1520,200.4675,304710.6,ACC-003
1017,2025-03-07,SPY,BUY,4410,523.9687,2310701.97,ACC-001
1018,2025-03-07,MSFT,DIVIDEND,1430,411.1962,588010.57,ACC-003
1019,2025-03-07,AAPL,BUY,2320,177.6737,412202.98,ACC-003
1020,2025-03-07,CORP-A,SELL,2710,100.0825,-271223.58,ACC-005
1021,2025-03-07,JPM,BUY,3720,197.9196,736260.91,ACC-005
1022,2025-03-10,JPM,BUY,450,200.9704,90436.68,ACC-003
1023,2025-03-10,QQQ,BUY,4440,443.8448,1970670.91,ACC-003
1024,2025-03-10,SPY,BUY,2190,520.6707,1140268.83,ACC-003
1025,2025-03-10,SPY,BUY,2250,525.9897,1183476.82,ACC-004
1026,2025-03-10,GS,SELL,1640,397.6264,-652107.3,ACC-001
1027,2025-03-10,T-2026,BUY,2300,99.3444,228492.12,ACC-005
1028,2025-03-10,T-2028,SELL,2360,96.7069,-228228.28,ACC-005
1029,2025-03-11,GS,SELL,1550,398.9348,-618348.94,ACC-005
1030,2025-03-11,T-2028,BUY,4970,96.9248,481716.26,ACC-003
1031,2025-03-11,JPM,DIVIDEND,850,195.4708,166150.18,ACC-002
1032,2025-03-11,CORP-B,SELL,4030,98.521,-397039.63,ACC-004
1033,2025-03-11,QQQ,BUY,3660,447.3375,1637255.25,ACC-004
1034,2025-03-11,JPM,BUY,3620,195.3585,707197.77,ACC-001
1035,2025-03-12,JPM,BUY,5000,199.4655,997327.5,ACC-004
1036,2025-03-12,AAPL,SELL,4790,180.3653,-863949.79,ACC-004
1037,2025-03-12,GS,DIVIDEND,3510,399.1224,1400919.62,ACC-005
1038,2025-03-12,QQQ,BUY,3960,454.1713,1798518.35,ACC-005
1039,2025-03-12,SPY,SELL,4740,524.1517,-2484479.06,ACC-002
1040,2025-03-12,CORP-B,SELL,3940,99.0432,-390230.21,ACC-003
1041,2025-03-13,CORP-B,SELL,1500,99.62,-149430.0,ACC-003
1042,2025-03-13,JPM,BUY,1730,200.6381,347103.91,ACC-001
1043,2025-03-13,GS,BUY,2060,401.0701,826204.41,ACC-002
1044,2025-03-13,MSFT,SELL,1790,415.7308,-744158.13,ACC-004
1045,2025-03-13,AAPL,BUY,2250,177.9081,400293.22,ACC-005
1046,2025-03-13,AAPL,DIVIDEND,4010,178.9053,717410.25,ACC-004
1047,2025-03-13,AAPL,COUPON,1620,179.8574,291368.99,ACC-004
1048,2025-03-14,SPY,DIVIDEND,4690,519.0119,2434165.81,ACC-002
1049,2025-03-14,T-2026,SELL,240,98.1716,-23561.18,ACC-004
1050,2025-03-14,GS,DIVIDEND,4800,394.2955,1892618.4,ACC-005
1051,2025-03-14,SPY,BUY,2110,524.8429,1107418.52,ACC-001
1052,2025-03-14,MSFT,SELL,790,419.7695,-331617.9,ACC-002
1053,2025-03-14,AAPL,BUY,1770,176.9559,313211.94,ACC-003
1054,2025-03-14,T-2028,DIVIDEND,2040,95.56,194942.4,ACC-004
1055,2025-03-17,MSFT,SELL,3930,415.691,-1633665.63,ACC-003
1056,2025-03-17,JPM,SELL,4090,201.0204,-822173.44,ACC-001
1057,2025-03-17,AAPL,COUPON,1120,180.3166,201954.59,ACC-005
1058,2025-03-17,GS,BUY,2520,400.7772,1009958.54,ACC-005
1059,2025-03-17,JPM,SELL,1410,199.8878,-281841.8,ACC-002
1060,2025-03-18,QQQ,COUPON,3770,443.7089,1672782.55,ACC-002
1061,2025-03-18,T-2026,BUY,230,99.7674,22946.5,ACC-005
1062,2025-03-18,CORP-A,BUY,3760,100.3337,377254.71,ACC-005
1063,2025-03-18,JPM,BUY,4050,197.1196,798334.38,ACC-005
1064,2025-03-18,MSFT,DIVIDEND,2990,418.7205,1251974.3,ACC-003
1065,2025-03-18,SPY,SELL,1990,516.6318,-1028097.28,ACC-003
1066,2025-03-18,AAPL,DIVIDEND,4310,178.4475,769108.72,ACC-004
1067,2025-03-19,CORP-B,SELL,2320,98.8304,-229286.53,ACC-005
1068,2025-03-19,T-2026,SELL,4800,98.6128,-473341.44,ACC-004
1069,2025-03-19,CORP-B,SELL,3840,100.0769,-384295.3,ACC-003
1070,2025-03-19,JPM,DIVIDEND,540,196.9848,106371.79,ACC-004
1071,2025-03-19,JPM,DIVIDEND,3010,198.9564,598858.76,ACC-004
1072,2025-03-20,AAPL,SELL,1760,176.7963,-311161.49,ACC-002
1073,2025-03-20,T-2028,DIVIDEND,1840,95.5641,175837.94,ACC-005
1074,2025-03-20,T-2026,SELL,2740,99.824,-273517.76,ACC-001
1075,2025-03-20,JPM,SELL,2600,198.6282,-516433.32,ACC-002
1076,2025-03-20,CORP-B,SELL,2610,99.6448,-260072.93,ACC-001
